,director_name,actor_1_name,actor_2_name,actor_3_name,genre,movie_title,comb
136,Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
137,Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Horror Action Thriller,the first purge,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Horror Action Thriller
138,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp,Paul Rudd Evangeline Lilly Michael Peña Peyton Reed Action Adventure Science Fiction
139,Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you,Lakeith Stanfield Tessa Thompson Armie Hammer Boots Riley Fantasy Science Fiction Comedy
140,Kevin MacDonald,Whitney Houston,unknown,unknown,Music Documentary,whitney,Whitney Houston unknown unknown Kevin MacDonald Music Documentary
141,Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation,Adam Sandler Andy Samberg Selena Gomez Genndy Tartakovsky Family Fantasy Comedy Animation
142,Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action Thriller,skyscraper,Dwayne Johnson Neve Campbell Chin Han Rawson Marshall Thurber Action Thriller
143,Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,Elsie Fisher Josh Hamilton Emily Robinson Bo Burnham Comedy Drama
144,Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot",Joaquin Phoenix Rooney Mara Jonah Hill Gus Van Sant Comedy Drama
145,Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Drama History Thriller,shock and awe,Woody Harrelson Tommy Lee Jones James Marsden Rob Reiner Drama History Thriller
146,Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Comedy Romance,mamma mia! here we go again,Lily James Amanda Seyfried Pierce Brosnan Ol Parker Comedy Romance
147,Antoine Fuqua,Denzel Washington,Ashton Sanders,Pedro Pascal,Action Thriller Crime,the equalizer 2,Denzel Washington Ashton Sanders Pedro Pascal Antoine Fuqua Action Thriller Crime
148,Carlos López Estrada,Janina Gavankar,Ethan Embry,Daveed Diggs,Comedy Drama,blindspotting,Janina Gavankar Ethan Embry Daveed Diggs Carlos López Estrada Comedy Drama
149,Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror Thriller Mystery,unfriended: dark web,Colin Woodell Rebecca Rittenhouse Betty Gabriel Stephen Susco Horror Thriller Mystery
150,Shinsuke Sato,Shinsuke Sato (director); Sota Fukushi,Hana Sugisaki,unknown,Action Fantasy Adventure,bleach,Shinsuke Sato (director); Sota Fukushi Hana Sugisaki unknown Shinsuke Sato Action Fantasy Adventure
151,Édouard Deluc,Vincent Cassel,Tuheï Adams,Malik Zidi,Drama Romance,gauguin – voyage de tahiti,Vincent Cassel Tuheï Adams Malik Zidi Édouard Deluc Drama Romance
152,Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible – fallout,Tom Cruise Henry Cavill Ving Rhames Christopher McQuarrie Action Adventure
153,Peter Rida Michail,Scott Menville,Khary Payton,Tara Strong,Animation Action Comedy Science Fiction,teen titans go! to the movies,Scott Menville Khary Payton Tara Strong Peter Rida Michail Animation Action Comedy Science Fiction
154,Tsui Hark,Tsui Hark (director),Chang Chia-lu,Chen Kuo-Fu (screenplay),Mystery Fantasy Adventure Action,detective dee: the four heavenly kings,Tsui Hark (director) Chang Chia-lu Chen Kuo-Fu (screenplay) Tsui Hark Mystery Fantasy Adventure Action
155,Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Comedy Crime,hot summer nights,Timothée Chalamet Maika Monroe Alex Roe Elijah Bynum Drama Comedy Crime
156,Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle,Kelly Macdonald Irrfan Khan David Denman Marc Turtletaub Drama
157,Ben Young,Michael Peña,Lizzy Caplan,Mike Colter,Action Drama Science Fiction Thriller,extinction,Michael Peña Lizzy Caplan Mike Colter Ben Young Action Drama Science Fiction Thriller
158,Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin,Ewan McGregor Hayley Atwell Jim Cummings Marc Forster Adventure Comedy Family Fantasy
159,Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Harris Dickinson,Science Fiction Action Drama Romance Adventure Thriller,the darkest minds,Amandla Stenberg Mandy Moore Harris Dickinson Jennifer Yuh Nelson Science Fiction Action Drama Romance Adventure Thriller
160,Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Action Comedy,the spy who dumped me,Mila Kunis Kate McKinnon Justin Theroux Susanna Fogel Action Comedy
161,Desiree Akhavan,Chloë Grace Moretz,Sasha Lane,John Gallagher,Drama,the miseducation of cameron post,Chloë Grace Moretz Sasha Lane John Gallagher Desiree Akhavan Drama
162,Augustine Frizzell,Maia Mitchell,Camila Morrone,Kyle Mooney,Comedy,never goin' back,Maia Mitchell Camila Morrone Kyle Mooney Augustine Frizzell Comedy
163,Ken Marino,Nina Dobrev,Finn Wolfhard,Vanessa Hudgens,Romance Comedy,dog days,Nina Dobrev Finn Wolfhard Vanessa Hudgens Ken Marino Romance Comedy
164,Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg,Jason Statham Li Bingbing Rainn Wilson Jon Turteltaub Action Science Fiction Horror
165,Spike Lee,John David Washington,Adam Driver,Laura Harrier,Comedy Crime Drama History,blackkklansman,John David Washington Adam Driver Laura Harrier Spike Lee Comedy Crime Drama History
166,Sylvain White,Joey King,Julia Goldani Telles,Jaz Sinclair,Horror Mystery Thriller,slender man,Joey King Julia Goldani Telles Jaz Sinclair Sylvain White Horror Mystery Thriller
167,Jean-Stéphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn,Joe Cole unknown unknown Jean-Stéphane Sauvaire Drama Action Crime
168,Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Drama Romance,crazy rich asians,Constance Wu Henry Golding Gemma Chan Jon M. Chu Comedy Drama Romance
169,Albert Hughes,Kodi Smit-McPhee,Leonor Varela,Jens Hultén,Adventure Drama,alpha,Kodi Smit-McPhee Leonor Varela Jens Hultén Albert Hughes Adventure Drama
170,Peter Berg,Mark Wahlberg,John Malkovich,Lauren Cohan,Action Thriller,mile 22,Mark Wahlberg John Malkovich Lauren Cohan Peter Berg Action Thriller
171,Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,Glenn Close Jonathan Pryce Christian Slater Björn Runge Drama
172,James Cox,Ansel Elgort,Taron Egerton,Kevin Spacey,Drama Thriller,billionaire boys club,Ansel Elgort Taron Egerton Kevin Spacey James Cox Drama Thriller
173,Jesse Peretz,Ethan Hawke,Rose Byrne,unknown,Comedy Drama Romance,"juliet, naked",Ethan Hawke Rose Byrne unknown Jesse Peretz Comedy Drama Romance
174,Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Thriller Drama Fantasy Horror,down a dark hall,AnnaSophia Robb Uma Thurman Isabelle Fuhrman Rodrigo Cortés Thriller Drama Fantasy Horror
175,Susan Johnson,Lana Condor,Noah Centineo,Anna Cathcart,Comedy Romance,to all the boys i've loved before,Lana Condor Noah Centineo Anna Cathcart Susan Johnson Comedy Romance
176,Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Action Comedy Crime,the happytime murders,Melissa McCarthy Maya Rudolph Joel McHale Brian Henson Action Comedy Crime
177,Aneesh Chaganty,John Cho,Debra Messing,unknown,Thriller Mystery Drama,searching,John Cho Debra Messing unknown Aneesh Chaganty Thriller Mystery Drama
178,Michael Noer,Charlie Hunnam,Rami Malek,unknown,Drama History Crime,papillon,Charlie Hunnam Rami Malek unknown Michael Noer Drama History Crime
179,Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,Alex Neustaedter Becky G Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family
180,Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Drama History Thriller,operation finale,Oscar Isaac Ben Kingsley Lior Raz Chris Weitz Drama History Thriller
181,"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Thriller,kin,"Myles Truitt Jack Reynor Zoë Kravitz Jonathan Baker, Josh Baker Thriller"
182,Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Mystery Drama Horror History,the little stranger,Domhnall Gleeson Ruth Wilson Will Poulter Lenny Abrahamson Mystery Drama Horror History
183,Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,Winona Ryder Keanu Reeves unknown Victor Levin Romance Comedy Drama
184,Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror Mystery Thriller,the nun,Demián Bichir Taissa Farmiga Jonas Bloquet Corin Hardy Horror Mystery Thriller
185,Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Action Thriller,peppermint,Jennifer Garner John Ortiz Juan Pablo Raba Pierre Morel Action Thriller
186,Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Adventure Comedy Horror,the predator,Boyd Holbrook Trevante Rhodes Jacob Tremblay Shane Black Science Fiction Action Adventure Comedy Horror
187,Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick,Matthew McConaughey Richie Merritt Bel Powley Yann Demange Crime Drama
188,Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Crime Thriller Mystery Comedy,a simple favor,Anna Kendrick Blake Lively Henry Golding Paul Feig Crime Thriller Mystery Comedy
189,Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act,Emma Thompson Stanley Tucci Fionn Whitehead Richard Eyre Drama
190,Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie,Chloë Sevigny Kristen Stewart Jay Huguley Craig William Macneill Crime Drama Thriller
191,Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Drama,unbroken: path to redemption,Samuel Hunt Merritt Patterson Vanessa Bell Calloway Harold Cronk Drama
192,Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Horror,hell house llc ii: the abaddon hotel,Vasile Flutur Jillian Geurts Joy Shatz Stephen Cognetti Horror
193,Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Fantasy Family Comedy Horror,the house with a clock in its walls,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Fantasy Family Comedy Horror
194,Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
195,Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Adventure,the sisters brothers,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Adventure
196,Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Horror Comedy,assassination nation,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Horror Comedy
197,Wash Westmoreland,Keira Knightley,Dominic West,unknown,Drama History,colette,Keira Knightley Dominic West unknown Wash Westmoreland Drama History
198,Michael Moore,Michael Moore (director/screenplay),unknown,unknown,Documentary,fahrenheit 11/9,Michael Moore (director/screenplay) unknown unknown Michael Moore Documentary
199,Christian Carion,Guillaume Canet,Melanie Laurent,unknown,Thriller Mystery Drama Crime,my son,Guillaume Canet Melanie Laurent unknown Christian Carion Thriller Mystery Drama Crime
200,Lisa Dapolito,Lisa Dapolito (director); Gilda Radner,unknown,unknown,Documentary,"love, gilda",Lisa Dapolito (director); Gilda Radner unknown unknown Lisa Dapolito Documentary
201,Kenji Nagasaki,Justin Briner,Christopher R. Sabat,Clifford Chapin,Animation Action Adventure Fantasy,my hero academia: two heroes,Justin Briner Christopher R. Sabat Clifford Chapin Kenji Nagasaki Animation Action Adventure Fantasy
202,Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Family Animation Adventure Fantasy,smallfoot,Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Animation Adventure Fantasy
203,Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,night school,Kevin Hart Tiffany Haddish Rob Riggle Malcolm D. Lee Comedy
204,David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
205,Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards,Horror,hell fest,Bex Taylor-Klaus Amy Forsyth Reign Edwards Gregory Plotkin Horror
206,Dave Christiano,Nicholas X. Parsons,Patty Duke,Michael Gross,,power of the air,
207,Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,venom,Tom Hardy Michelle Williams Riz Ahmed Ruben Fleischer Science Fiction Action
208,Bradley Cooper,Bradley Cooper,Lady Gaga,Sam Elliott,Drama Romance Music,a star is born,Bradley Cooper Lady Gaga Sam Elliott Bradley Cooper Drama Romance Music
209,George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
210,Peter Bogdanovich,Peter Bogdanovich (director),unknown,unknown,Documentary,the great buster: a celebration,Peter Bogdanovich (director) unknown unknown Peter Bogdanovich Documentary
211,Rupert Everett,Rupert Everett,Colin Firth,Colin Morgan,Drama,the happy prince,Rupert Everett Colin Firth Colin Morgan Rupert Everett Drama
212,Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
213,Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Drama Mystery Crime,bad times at the el royale,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Drama Mystery Crime
214,Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Adventure Comedy Fantasy Family Horror,goosebumps 2: haunted halloween,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Adventure Comedy Fantasy Family Horror
215,Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy,Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
216,Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy,the oath,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy
217,Nick Searcy,Nick Searcy (director); Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer,Nick Searcy (director); Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime
218,"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei",Hannah Marks,Joey Power (directors/screenplay),Jeremy Allen White,Comedy Drama Romance,after everything,"Hannah Marks Joey Power (directors/screenplay) Jeremy Allen White Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei Comedy Drama Romance"
219,David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller
220,Marielle Heller,Melissa McCarthy,Richard E. Grant,unknown,Drama Crime Comedy,can you ever forgive me?,Melissa McCarthy Richard E. Grant unknown Marielle Heller Drama Crime Comedy
221,Jonah Hill,Sunny Suljic,Lucas Hedges,Katherine Waterston,Drama Comedy,mid90s,Sunny Suljic Lucas Hedges Katherine Waterston Jonah Hill Drama Comedy
222,Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife,Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
223,Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
224,Donovan Marsh,Gerard Butler,Gary Oldman,Common,Action Thriller,hunter killer,Gerard Butler Gary Oldman Common Donovan Marsh Action Thriller
225,David Kerr,Rowan Atkinson,Olga Kurylenko,Ben Miller,Action Adventure Comedy,johnny english strikes again,Rowan Atkinson Olga Kurylenko Ben Miller David Kerr Action Adventure Comedy
226,Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Horror Thriller,suspiria,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Horror Thriller
227,David G. Evans,Sarah Drew,Justin Bruening,Jason George,Drama War,indivisible,Sarah Drew Justin Bruening Jason George David G. Evans Drama War
228,David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
229,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama History,bohemian rhapsody,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer Music Drama History
230,"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,Fantasy Adventure Family,the nutcracker and the four realms,"Keira Knightley Mackenzie Foy Eugenio Derbez Lasse Hallström, Joe Johnston Fantasy Adventure Family"
231,Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Drama Comedy,nobody's fool,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Drama Comedy
232,Joel Edgerton,Lucas Hedges,Nicole Kidman,Russell Crowe,Drama,boy erased,Lucas Hedges Nicole Kidman Russell Crowe Joel Edgerton Drama
233,Matthew Heineman,Rosamund Pike,Jamie Dornan,Stanley Tucci,War Drama,a private war,Rosamund Pike Jamie Dornan Stanley Tucci Matthew Heineman War Drama
234,Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
235,Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,the front runner,Hugh Jackman Vera Farmiga J. K. Simmons Jason Reitman Drama History
236,"Yarrow Cheney, Scott Mosier",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Animation Family Comedy Fantasy,the grinch,"Benedict Cumberbatch Rashida Jones Kenan Thompson Yarrow Cheney, Scott Mosier Animation Family Comedy Fantasy"
237,Fede Álvarez,Claire Foy,Sverrir Gudnason,Lakeith Stanfield,Action Crime Thriller Drama,the girl in the spider's web,Claire Foy Sverrir Gudnason Lakeith Stanfield Fede Álvarez Action Crime Thriller Drama
238,Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Horror War Science Fiction,overlord,Jovan Adepo Wyatt Russell Mathilde Ollivier Julius Avery Horror War Science Fiction
239,"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",Tim Blake Nelson,Zoe Kazan,Liam Neeson,Comedy Drama Western,the ballad of buster scruggs,"Tim Blake Nelson Zoe Kazan Liam Neeson Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits Comedy Drama Western"
240,Daniel Fabelo & Matt Hullum,Gavin Free,Michael Jones,Burnie Burns,Science Fiction Action Adventure Comedy,lazer team 2,Gavin Free Michael Jones Burnie Burns Daniel Fabelo & Matt Hullum Science Fiction Action Adventure Comedy
241,Josh Webber,Josh Webber (director); Shaun Cairo (Screenplay),Jo Marie Payton,Gary Leroi Gray,Drama Thriller,conundrum: secrets among friends,Josh Webber (director); Shaun Cairo (Screenplay) Jo Marie Payton Gary Leroi Gray Josh Webber Drama Thriller
242,David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Adventure Fantasy Drama,fantastic beasts: the crimes of grindelwald,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Adventure Fantasy Drama
243,Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Crime Thriller,widows,Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Crime Thriller
244,Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Moner,Comedy Drama,instant family,Mark Wahlberg Rose Byrne Isabela Moner Sean Anders Comedy Drama
245,"Rich Moore, Phil Johnston",John C. Reilly,Sarah Silverman,Gal Gadot,Family Animation Comedy Adventure,ralph breaks the internet,"John C. Reilly Sarah Silverman Gal Gadot Rich Moore, Phil Johnston Family Animation Comedy Adventure"
246,Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama,creed ii,Michael B. Jordan Sylvester Stallone Tessa Thompson Steven Caple Jr. Drama
247,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama Comedy,green book,Viggo Mortensen Mahershala Ali Linda Cardellini Peter Farrelly Drama Comedy
248,Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Adventure Action History,robin hood,Taron Egerton Jamie Foxx Ben Mendelsohn Otto Bathurst Adventure Action History
249,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga,Drama,roma,Yalitza Aparicio Marina de Tavira Fernando Grediaga Alfonso Cuarón Drama
250,Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Drama Comedy,the favourite,Olivia Colman Emma Stone Rachel Weisz Yorgos Lanthimos Drama Comedy
251,Andy Serkis,Rohan Chand,Christian Bale,Cate Blanchett,Adventure Drama,mowgli: legend of the jungle,Rohan Chand Christian Bale Cate Blanchett Andy Serkis Adventure Drama
252,Diederik van Rooijen,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
253,John McPhail,Ella Hunt,Malcolm Cumming,Marli Siu,Horror Comedy Fantasy,anna and the apocalypse,Ella Hunt Malcolm Cumming Marli Siu John McPhail Horror Comedy Fantasy
254,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Drama,capernaum,Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Nadine Labaki Drama
255,Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
256,Peter Hedges,Lucas Hedges,Julia Roberts,Kathryn Newton,Drama,ben is back,Lucas Hedges Julia Roberts Kathryn Newton Peter Hedges Drama
257,"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Action Adventure Animation Science Fiction,spider-man: into the spider-verse,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Action Adventure Animation Science Fiction"
258,Christian Rivers,Hugo Weaving,Hera Hilmar,Robert Sheehan,Adventure Science Fiction,mortal engines,Hugo Weaving Hera Hilmar Robert Sheehan Christian Rivers Adventure Science Fiction
259,Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama Thriller,the mule,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama Thriller
260,Barry Jenkins,Kiki Layne,Stephan James,Teyonah Parris,Romance Drama,if beale street could talk,Kiki Layne Stephan James Teyonah Parris Barry Jenkins Romance Drama
261,Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,mary poppins returns,Emily Blunt Lin-Manuel Miranda Ben Whishaw Rob Marshall Fantasy Family Comedy
262,James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure Fantasy,aquaman,Jason Momoa Amber Heard Willem Dafoe James Wan Action Adventure Fantasy
263,Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction
264,Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Drama Comedy Fantasy,welcome to marwen,Steve Carell Leslie Mann Diane Kruger Robert Zemeckis Drama Comedy Fantasy
265,Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,second act,Jennifer Lopez Leah Remini Vanessa Hudgens Peter Segal Romance Comedy
266,Paweł Pawlikowski,Joanna Kulig,Tomasz Kot,Agata Kulesza,Comedy Romance,cold war,Joanna Kulig Tomasz Kot Agata Kulesza Paweł Pawlikowski Comedy Romance
267,Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Mystery Adventure Comedy Crime,holmes & watson,Will Ferrell John C. Reilly Rebecca Hall Etan Cohen Mystery Adventure Comedy Crime
268,Adam McKay,Christian Bale,Amy Adams,Steve Carell,Thriller Science Fiction Action Adventure,vice,Christian Bale Amy Adams Steve Carell Adam McKay Thriller Science Fiction Action Adventure
269,Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Drama History,on the basis of sex,Felicity Jones Armie Hammer Justin Theroux Mimi Leder Drama History
270,Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Thriller Crime Drama Action,destroyer,Nicole Kidman Sebastian Stan Toby Kebbell Karyn Kusama Thriller Crime Drama Action
271,David Slade,Fionn Whitehead,Will Poulter,Asim Chaudhry,Science Fiction Mystery Drama Thriller TV Movie,black mirror: bandersnatch,Fionn Whitehead Will Poulter Asim Chaudhry David Slade Science Fiction Mystery Drama Thriller TV Movie
